"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject","Program Type",Outcome
2016-2017,ALABAMA,0100005,"Albertville City",,,814,"Chronic absenteeism table",21,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100006,"Marshall County",,,814,"Chronic absenteeism table",83,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100007,"Hoover City",,,814,"Chronic absenteeism table",28,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100008,"Madison City",,,814,"Chronic absenteeism table",23,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100011,"Leeds City",,,814,"Chronic absenteeism table",29,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100012,"Boaz City",,,814,"Chronic absenteeism table",11,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100013,"Trussville City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100030,"Alexander City",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100060,"Andalusia City",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100090,"Anniston City",,,814,"Chronic absenteeism table",29,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100100,"Arab City",,,814,"Chronic absenteeism table",11,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100120,"Athens City",,,814,"Chronic absenteeism table",22,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100180,"Attalla City",,,814,"Chronic absenteeism table",84,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100185,"Saraland City",,,814,"Chronic absenteeism table",15,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100188,"Chickasaw City",,,814,"Chronic absenteeism table",25,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100189,"Satsuma City",,,814,"Chronic absenteeism table",9,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100190,"Alabaster City",,,814,"Chronic absenteeism table",18,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100194,"Pelham City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100210,"Auburn City",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100240,"Autauga County",,,814,"Chronic absenteeism table",34,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100270,"Baldwin County",,,814,"Chronic absenteeism table",153,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100300,"Barbour County",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100330,"Bessemer City",,,814,"Chronic absenteeism table",87,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100360,"Bibb County",,,814,"Chronic absenteeism table",17,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100390,"Birmingham City",,,814,"Chronic absenteeism table",26,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100420,"Blount County",,,814,"Chronic absenteeism table",45,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100480,"Bullock County",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100510,"Butler County",,,814,"Chronic absenteeism table",41,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100540,"Calhoun County",,,814,"Chronic absenteeism table",49,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100600,"Chambers County",,,814,"Chronic absenteeism table",7,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100630,"Cherokee County",,,814,"Chronic absenteeism table",189,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100660,"Chilton County",,,814,"Chronic absenteeism table",11,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100720,"Clarke County",,,814,"Chronic absenteeism table",7,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100750,"Clay County",,,814,"Chronic absenteeism table",4,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100780,"Cleburne County",,,814,"Chronic absenteeism table",14,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100810,"Coffee County",,,814,"Chronic absenteeism table",28,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100840,"Colbert County",,,814,"Chronic absenteeism table",86,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100870,"Conecuh County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100900,"Coosa County",,,814,"Chronic absenteeism table",0,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100930,"Covington County",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100960,"Crenshaw County",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0100990,"Cullman City",,,814,"Chronic absenteeism table",3,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101050,"Dale County",,,814,"Chronic absenteeism table",2,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101080,"Daleville City",,,814,"Chronic absenteeism table",5,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101110,"Dallas County",,,814,"Chronic absenteeism table",19,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101140,"Dekalb County",,,814,"Chronic absenteeism table",114,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101170,"Decatur City",,,814,"Chronic absenteeism table",28,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101230,"Dothan City",,,814,"Chronic absenteeism table",99,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101260,"Elba City",,,814,"Chronic absenteeism table",34,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101290,"Elmore County",,,814,"Chronic absenteeism table",56,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101320,"Enterprise City",,,814,"Chronic absenteeism table",46,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101350,"Escambia County",,,814,"Chronic absenteeism table",10,,,"Chronically Absent Students",Homeless,,,,,
2016-2017,ALABAMA,0101380,"Etowah County",,,814,"Chronic absenteeism table",35,,,"Chronically Absent Students",Homeless,,,,,
